,isrc,shit
Ms. Jackson,USAR10100783,15048628
Savage (feat. Flux Pavillion & MAX),USAT21603407,15092670
It's Tricky,USAR18600005,15051716
Classic (feat. POWERS) - RAC Remix,USAT21404380,15089187
Did You Wrong (feat. MAX),USAT21602118,15092020
Taped Up Heart (feat. Clara Mae),USAT21602970,15092425
Aftershock (feat. Jacquie Lee),USAT21600001,15091180
LA (feat. Trombone Shorty),GB2DZ1600029,12368549
Cheerleader - Felix Jaehn Remix Radio Edit,USQX91500448,15620212
Bonbon - English Version,USUS11600249,15950974
Broccoli (feat. Lil Yachty) - BUSTED by Herobust,USAT21603388,15092660
Physical,USSM11507976,15797134
